,f1-score,precision,recall,support
ARTS,0.6102292768959435,0.6528301886792452,0.5728476821192053,302.0
ARTS & CULTURE,0.6315789473684211,0.6902654867256637,0.582089552238806,268.0
BLACK VOICES,0.6103896103896105,0.6552598225602028,0.5712707182320442,905.0
BUSINESS,0.6368286445012787,0.6450777202072538,0.6287878787878788,1188.0
COLLEGE,0.6117647058823529,0.6632653061224489,0.5676855895196506,229.0
COMEDY,0.6930301532377657,0.7095141700404858,0.6772946859903382,1035.0
CRIME,0.6082191780821918,0.5699614890885751,0.6519823788546255,681.0
CULTURE & ARTS,0.6761363636363636,0.815068493150685,0.5776699029126213,206.0
DIVORCE,0.8216216216216216,0.8721311475409836,0.7766423357664234,685.0
EDUCATION,0.5659340659340659,0.6319018404907976,0.5124378109452736,201.0
ENTERTAINMENT,0.7951042611060744,0.7724603640634174,0.8191158156911582,3212.0
ENVIRONMENT,0.5793103448275863,0.7368421052631579,0.4772727272727273,264.0
FIFTY,0.6599597585513078,0.7557603686635944,0.5857142857142857,280.0
FOOD & DRINK,0.8587213891081295,0.8440651667959659,0.8738955823293173,1245.0
GOOD NEWS,0.596078431372549,0.658008658008658,0.5448028673835126,279.0
GREEN,0.5088265835929388,0.5580865603644647,0.4675572519083969,524.0
HEALTHY LIVING,0.6564942314849274,0.6543026706231454,0.6587005227781927,1339.0
HOME & LIVING,0.8790273556231003,0.8970223325062034,0.8617401668653158,839.0
IMPACT,0.5263157894736842,0.5871886120996441,0.476878612716763,692.0
LATINO VOICES,0.6701846965699209,0.8300653594771242,0.5619469026548672,226.0
MEDIA,0.649325626204239,0.7094736842105264,0.5985790408525755,563.0
MONEY,0.6730769230769231,0.7420494699646644,0.6158357771260997,341.0
PARENTING,0.7569501789154969,0.7248286768581972,0.7920506912442397,1736.0
PARENTS,0.7019607843137254,0.7266576454668471,0.6788874841972187,791.0
POLITICS,0.8379023508137432,0.7959323897210389,0.8845448992058644,6548.0
QUEER VOICES,0.8277822908204712,0.8498748957464554,0.8068091844813935,1263.0
RELIGION,0.6914344685242518,0.7314410480349345,0.6555772994129159,511.0
SCIENCE,0.6991260923845193,0.7650273224043715,0.6436781609195402,435.0
SPORTS,0.7898989898989899,0.7796610169491526,0.8004094165813715,977.0
STYLE,0.6536585365853658,0.7262872628726287,0.5942350332594235,451.0
STYLE & BEAUTY,0.8830033427616354,0.8764675855028076,0.8896373056994819,1930.0
TASTE,0.6485013623978201,0.7555555555555555,0.568019093078759,419.0
TECH,0.6607142857142857,0.7038043478260869,0.6225961538461539,416.0
THE WORLDPOST,0.5708245243128964,0.5903790087463557,0.5525238744884038,733.0
TRAVEL,0.8534440644846115,0.8256143667296786,0.8832153690596563,1978.0
WEDDINGS,0.8524137931034483,0.8583333333333333,0.8465753424657534,730.0
WEIRD NEWS,0.5,0.4842105263157895,0.5168539325842697,534.0
WELLNESS,0.8235906782970968,0.7686512758201701,0.8869882220975883,3566.0
WOMEN,0.5684877276326208,0.6353982300884956,0.5143266475644699,698.0
WORLD NEWS,0.41360544217687073,0.5066666666666667,0.34942528735632183,435.0
WORLDPOST,0.5844559585492227,0.6280623608017817,0.5465116279069767,516.0
accuracy,0.7528067511388813,0.7528067511388813,0.7528067511388813,0.7528067511388813
macro avg,0.6789247031762944,0.7166696227338354,0.6510637344904849,40171.0
weighted avg,0.7482522243919513,0.7491096267565491,0.7528067511388813,40171.0
